"filename", "language", "C#", "XML", "JSON with Comments", "Markdown", "JSON", "HTML", "TypeScript", "TypeScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\API.csproj", "XML", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\AccountController.cs", "C#", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 98
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\AlbumImageController.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\AlbumsController.cs", "C#", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 68
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\BaseApiController.cs", "C#", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\FallbackController.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\ImagesController.cs", "C#", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 66
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\ProfilesController.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\TagImageController.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\TagsController.cs", "C#", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Controllers\WeatherForecastController.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\DTOs\LoginDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\DTOs\RegisterDto.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\DTOs\UserDto.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Extensions\ApplicationServiceExtensions.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Extensions\IdentityServiceExtensions.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\MiddleWare\ExceptionMiddleWare.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Program.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 59
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\Services\TokenService.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\WeatherForecast.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\appsettings.Development.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\appsettings.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Debug\net7.0\API.deps.json", "JSON", 0, 0, 0, 0, 1553, 0, 0, 0, 0, 0, 0, 0, 1553
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Debug\net7.0\API.runtimeconfig.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Debug\net7.0\API.staticwebassets.runtime.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Debug\net7.0\appsettings.Development.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Debug\net7.0\appsettings.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\API.deps.json", "JSON", 0, 0, 0, 0, 1521, 0, 0, 0, 0, 0, 0, 0, 1521
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\API.runtimeconfig.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\appsettings.Development.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\appsettings.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\asset-manifest.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\index.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\static\css\main.6900ca00.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 317, 0, 363
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\static\js\787.627756db.chunk.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\static\js\main.9cb2dfea.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\static\media\brand-icons.6729d29753e000c17489.svg", "XML", 0, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1009
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\static\media\icons.62d9dae4e0040e81c980.svg", "XML", 0, 1514, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1519
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Publish\wwwroot\static\media\outline-icons.9c4845b4b41ef40a22fa.svg", "XML", 0, 362, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 367
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Release\net7.0\API.deps.json", "JSON", 0, 0, 0, 0, 1553, 0, 0, 0, 0, 0, 0, 0, 1553
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Release\net7.0\API.runtimeconfig.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Release\net7.0\API.staticwebassets.runtime.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Release\net7.0\appsettings.Development.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\bin\Release\net7.0\appsettings.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\wwwroot\asset-manifest.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\wwwroot\index.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\wwwroot\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\wwwroot\static\css\main.6900ca00.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 317, 0, 363
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\wwwroot\static\js\787.627756db.chunk.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\wwwroot\static\js\main.49b5addb.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\wwwroot\static\media\brand-icons.6729d29753e000c17489.svg", "XML", 0, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1009
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\wwwroot\static\media\icons.62d9dae4e0040e81c980.svg", "XML", 0, 1514, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1519
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\wwwroot\static\media\outline-icons.9c4845b4b41ef40a22fa.svg", "XML", 0, 362, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 367
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\AlbumImage\Add.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 56
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\AlbumImage\AlbumImageDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\AlbumImage\Remove.cs", "C#", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 49
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\AddView.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\AlbumDto.cs", "C#", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\Create.cs", "C#", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\CreateAlbumDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\Delete.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\Details.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\Edit.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\EditAlbumDto.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\List.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\Search.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\UpdateFavorite.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\UpdateRating.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 53
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Application.csproj", "XML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Core\AppException.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Core\MappingProfiles.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Core\Result.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\GenericDtos\IntDto.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\GenericDtos\StringDto.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\Add.cs", "C#", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 12, 91
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\AddView.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\Delete.cs", "C#", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 58
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\Details.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\ImageDataDto.cs", "C#", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\ImageUploadResult.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\List.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\ListNotTagged.cs", "C#", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\Search.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\SearchDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\UpdateFavorite.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\UpdateRating.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 54
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Interfaces\IPhotoAccessor.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Interfaces\IUserAccessor.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Profiles\Details.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Profiles\Profile.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\TagImages\Add.cs", "C#", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 59
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\TagImages\Remove.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 50
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\TagImages\TagImageDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\Create.cs", "C#", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 56
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\Delete.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\Details.cs", "C#", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 50
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\Edit.cs", "C#", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 65
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\EditTagValidator.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\List.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 50
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\TagDto.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\TagValidator.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\bin\Debug\net7.0\Application.deps.json", "JSON", 0, 0, 0, 0, 1267, 0, 0, 0, 0, 0, 0, 0, 1267
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\bin\Release\net7.0\Application.deps.json", "JSON", 0, 0, 0, 0, 1267, 0, 0, 0, 0, 0, 0, 0, 1267
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\Album.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\AlbumImages.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\AppUser.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\Domain.csproj", "XML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\ImageData.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\Tag.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\TagImageData.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
